start,end,text
160.79,165.73, are the perfect solution to office noise and distractions. He
165.73,169.51," doesn't look sold. No, I like it. That is a"
169.51,172.39, little pricier than some solutions we've looked into. We actually
172.39,175.71, need some of these. But I can't fault the build
175.71,178.99," quality, the features, or the overall vibe. Is this for"
178.99,181.27, two people or four? It feels like it'd be an
181.27,184.01," extremely cosy four. It'd be a cosy four, but it"
184.01,186.49, for sure confirms two people. This is actually their Tuesday
186.49,189.85, booth. I get it. So what would they call the
189.85,192.75," four one? Four's day. Oh, I was going to go"
192.75,196.19, with four skin. We should remove this and that. You
196.19,199.37, know what else we should remove? Four skin. The sound.
199.47,211.68, Anybody else hearing this conversation? We
211.68,213.4, can hear each other just fine. Other than it being
213.4,216.48," a little echoey, thanks to this big glass panel here."
216.7,218.74, And it definitely gets stuffy fast if you don't have
218.74,220.86, the fan on. How much did we spend on all
220.86,226.36," this stuff? Just over $14,000. More importantly, the booth"
226.36,227.94, was actually sent to us. Are we going to buy
227.94,231.1," some? Well, if you use our affiliate code down below,"
231.2,232.9, they'll knock the price off for us so we can
232.9,239.06, keep it. Please buy some. Who put you up to
239.06,241.44, that? I'm not even kidding. That's the contract we signed.
241.56,246.18," Thanks, Josh. Oh, what is this? A docking station. Oh,"
246.18,251.96," it's so cute. Micro SD, SD, power. Okay, you got"
251.96,255.779," some USB-A, USB-C, all the USB-A and"
255.779,260.6," Ethernet at the back. And wow, triple monitor support. Okay,"
260.839,263.94," okay. But hold on, hold on, hold on. That is"
263.94,266.96, a chonker of a power brick. It makes sense if
266.96,270.72," you've got 60 watts of USB PD, plus being able"
270.72,273.28, to power everything else that's connected to it. And I
273.28,277.74, love that they've matched the aesthetic. How cool is that?
278.0,279.56, We're actually going to build a full desk setup in
279.56,281.38," here for you. That's what it's meant for, right? So"
281.38,283.34," starting with the docking station, then we'll add some monitors"
283.34,286.64," later on. Oh, sick. Oh, it has a little cute"
286.64,290.04, calendar and clock. I love this thing. This is great.
290.26,292.6, It had a ad just on Instagram that led us
292.6,294.52, to Temu. I think they also have like an official
294.52,296.2," website you can go to, but this is where we"
296.2,298.92, purchased it from. I can't promise it isn't feeling your
298.92,302.96," data, but I can promise you it's adorable. If you"
302.96,305.28," had to guess the price on this, what would you"
305.28,308.3," put it at? I don't know, 70 bucks. It's 220"
308.3,312.82, Canadian. So it's about 150-ish US. It is a
312.82,317.38," docking station. Docking stations get expensive. Yeah, it just feels"
317.38,320.62, like a novelty one. You can change the colours. You
320.62,325.44," have black, blue, and red. Whoa. Okay, that's pretty cool."
325.72,328.42, You can swipe to the side. They even totally just
328.42,331.9," use the Apple logo. Oh, no way. Which I don't"
331.9,335.5, know if they can get away with technically. For 3x4K
335.5,338.24, displays though? That's actually going to come in handy because
338.24,340.7," we bought some screens. Okay, let's keep going with the"
340.7,343.58," setup then. JSAO, what was the name of this company?"
343.84,347.1," Sure, JSAO. They made the docking station that was used"
347.1,349.56," in Sam's upgrade, and we actually like complimented the quality"
349.56,351.62," and fit and finish of it. Yeah. Well, apparently they"
351.62,355.64," make these FlipGo Duo monitors, and they sent us both"
355.64,357.7, of these when we asked for one. So we get
357.7,359.46, to pick now which one they want. I want this
359.46,363.5," one. Cool. Oh, wow. That is like a whole laptop"
363.5,368.38, worth a monitor right there. Good lord. Built-in USB
368.38,373.6, hub though. That's pretty handy. Micro HDMI in. DisplayPort in
373.6,378.34, though. That's cool. Button for changing the orientation. So just
378.34,381.02," beep, beep. Is there a battery? Like, does it just"
381.02,383.76, power on? It powers on by one of the USB 
383.76,387.98,"-C cables. Oh, but there's no battery. No. Do they"
387.98,389.96, have any ideas for how you're supposed to mount this?
390.36,393.8, I'm so glad you asked. They also sell stands for
393.8,397.26," them. Oh, okay. But it doesn't come with any way"
397.26,400.14," of actually mounting this to anything? No, it comes... You"
400.14,402.24," have to buy the stand. Well, wait, what about this"
402.24,406.66," thing? Positioning of the magnetic suction bracket. Yeah, that's what's"
406.66,410.36, in here. What? Seriously? Are you not messing with me
410.36,413.48," right now? Like, there's absolutely... Like, this doesn't hold it"
413.48,415.4, in any meaningful way? Not that I could figure it
415.4,418.58, out. It has to. Let me pull up the website.
418.58,421.08," There's no way it just sits like that. You know,"
421.16,423.74, sometimes not everything needs a solution. You ever think about
423.74,430.14," that? No. Oh my god, that magnet is what holds"
430.14,433.16," it? Yeah, it's pretty strong. Once you get it lined"
433.16,434.9," up, it's actually pretty good. Yeah, it goes on there"
434.9,439.28," pretty okay. I mean, it's a little scary. Yeah, trusting"
439.28,442.5," your life on that is... Okay. Well, your monitor's life"
442.5,444.78, anyway. If you had to guess the price. I keep
444.78,449.42, getting everything wrong. $400. $600 US dollars. Dang it. I
449.42,453.44, hope this stand isn't more than like $30. It's $40.
453.86,458.92," Well, that's within range. Okay. Boom, just like that. Hold"
458.92,461.92," on, I'm switching the orientation. Overall, this would be a"
461.92,464.62, huge productivity booster and it would be pretty much like
464.62,466.84, carrying around two laptops with the way that it folds
466.84,468.96, down. The stand leaves a lot to be desired though.
469.34,471.48," Okay, what's next? There's one more thing in here for"
471.48,473.46, your setup. Oh. Because you don't want to be typing
473.46,477.3," on your keyboard and mouse. Oh, you threw it right"
477.3,479.48, at my junk. It's good quality. I bought them from
479.48,483.5," an ad. Okay, we've got the Block. Triple mode connection"
483.5,486.72," mechanical keyboard back to classics. Yes, by the company Low"
486.72,489.04, Free. And I've also got this triple mode wireless touch
489.04,494.74," mouse. What's a touch mouse? You'll see. Oh. Yeah, that's"
494.74,500.22, it. That's kind of stupid. They make some extremely bold
500.22,504.68," claims for this bad boy. Replaceable PBT key caps. Sure,"
505.12,508.96, if you can find that key profile again. And also
508.96,518.28, improve comfort and productivity. I strongly doubt that. X. X
518.28,524.34," to doubt. This is cool though. Magnetic dongle holder. Oh,"
524.86,529.14," is that what? That is so cool. Oh, I was"
529.14,531.14," trying to figure what it was on the keyboard. Dude,"
531.46,533.56, sick. I like the style of the keyboard. You know
533.56,537.24," what? Sure, they might probably spend too much of their"
537.24,541.66, product development budget on Facebook ads. But they also spent
541.66,543.86," a lot on design. Yeah, it looks pretty good, right?"
545.18,551.52," She actually thawks not bad. But the question is, how"
551.52,553.78, much did she thawk me? Do you want to guess?
554.0,559.4," Sure, I'll guess. Keyboards I should... Oh, 80 bucks. 170."
559.68,565.58, No! Mouse. I don't know. It's pretty stylish. 70. Bang
565.58,568.42, on. Now for something that's not part of our work
568.42,573.56, setup. This RetroPixel Pro tiny computer. It's powered by an
573.56,577.8, RK3326 quad-core ARM CPU. And it features... And it's
577.8,581.1, gone. Emily Seddon from our editing team sent this ad
581.1,583.72, over to Procurement. Procurement clicked on the link and the
583.72,587.92, site was no longer working. And this right here is
587.92,590.38, the biggest reason that this video took so long to
590.38,593.24, take. Because we would go to purchase items from obvious
593.24,596.56, dropshippers or scammers. And they had already pulled the rug. 
596.72,600.14," So guys, please take an extra 30 seconds to look"
600.14,603.38, over items before handing over your payment information. Since you
603.38,605.64, never know what people are on the other end of
605.64,608.24, these companies. I actually almost gave my credit card to
608.24,611.58, someone who had... They were like cheaper versions of those
611.58,614.62," electronic water blasters. Oh, yeah, yeah. And they were listed"
614.62,617.2," for like $27. And I was like, I've never heard"
617.2,619.66," of this site before. And I googled, are they a"
619.66,622.82, ripoff? And it was like pages and pages and pages
622.82,626.88," of negative reviews. So... 30 seconds. Watch out. Okay, what"
626.88,629.64, did we actually get next then? Another TEMU special. A
629.64,632.18," 20-in-1 cleaner. Without looking at the box, can"
632.18,640.44, you find all 20? Ah! There's one. Ah! It just
640.44,642.82, comes apart. I don't know if a SIM removal tool
642.82,645.54, counts as a cleaning device. And the same goes for
645.54,648.1, a key switch puller and a key cap puller. You
648.1,651.3," missed one in there. I missed something? Yeah, the lid"
651.3,655.08," itself. What, this? Yeah, wipe a screen with it, you"
655.08,657.6," know? I'm not a screen, but thank you. I would"
657.6,659.52," not wipe a screen with this. Well, you're at five."
659.6,665.18," Keep going. Oh. Oh. Little spritz bottle. Yeah, that's pretty"
665.18,672.94," cool. Little air puffer. Yep, it moves air. Tampon. Air"
672.94,676.62," pod case cleaner. Right, that makes sense. Little brush. Okay,"
676.94,679.76," I'm bored. Yeah, there's a lot of them. Yeah. That's"
679.76,681.3, the gist of it. How much do you think it
681.3,683.04, was? This has got to be 10 bucks. That's five
683.04,685.16, bucks. Yeah. It's fitting that your mic battery just died. 
685.22,687.88," We bought a battery tester. Hey, they don't work for"
687.88,692.34, rechargeables. They don't? No. Oh. Rechargeables run in a different
692.34,695.72," voltage range than alkalines. Oh. Well, do you want to"
695.72,697.94," test it to make sure it works? Sure, I mean,"
698.02,701.36, yeah. It works. It works. It was four dollars and
701.36,705.04," 20 cents. Hey, it's a good battery. It's a good"
705.04,707.24, battery. I hope so. I just grabbed it from the
707.24,709.2," shelf. These things are a dime a dozen though, and"
709.2,712.7, I've seen much better form factors than this stupid system. 
712.82,714.8, So if you paid more than like six bucks for
714.8,716.64," it, then you got ripped off. I'm glad we didn't"
716.64,718.68," get ripped off. This one, I think we did though. "
719.2,722.16, Take a look at this one. Smart light sound machine.
724.49,726.89, Look at the size of it in his hand. What?
726.99,733.55, This is a completely different thing. Yep. That's a completely
733.55,737.25, different product. Correct. That one has a speaker in the
737.25,739.93," front. This one, the speakers down here, the play button"
739.93,743.57, is backwards. What the heck? It's also like four times
743.57,746.41, bigger in the video he's holding it. Wireless phone charging
746.41,748.51, though. I'm sure that won't light on fire. It didn't
748.51,757.11," when I tried it. Oh. Wow, that quality speaker though. "
757.25,760.43, Would you like to listen to some music? I would
760.43,766.57," like that very much. Oh, that's my phone speakers. Yes. "
767.93,774.97, Good luck. It took me a while. Oh. I think
774.97,777.39," we get the point. It sounds like garbage. Yeah, but"
777.39,782.59," we don't know. Maybe it's got a hidden speaker. Okay,"
782.63,786.71, we can move on. Feel how light it is. Our
786.71,790.53, second last. Not this again. This is no longer available
790.53,793.11, on TEMU. Is it gone because of how dangerous it
793.11,796.13, is? There's literally a warning right on it. That's like
796.13,800.07, laser class one. And then it just beams it into
800.07,804.21, this refractive dome and sends it freaking everywhere. How are
804.21,806.67, you supposed to not have a child or a pet
806.67,809.27, or an adult look into this thing? It has speakers
809.27,812.15, though. And it came with the remote. What does the
812.15,815.75, microphone button do? I don't know. This remote feels like
815.75,818.55, there's nothing inside it. It is lighter than the battery
818.55,822.09," tester. All right, you ready? You don't have to just"
822.09,823.91, stop. I was going to check to make sure it's
823.91,830.03," turned on. Okay, what is that? Wow. Wow. That was"
830.03,835.75," the G button. Here's R, here's B, here's W. That's"
835.75,839.71," white-ish. Yeah, close. Hello? Check, check, check, check. Hello?"
840.33,844.11, Switches between red and okay. That's the mic button. It's
844.11,848.41, music mode. I hope I'm not connecting to someone's headphones.
848.61,851.83," Oh, that was it. I'm not going to give it"
851.83,859.05, access to my calls and logs. This sounds so bad.
859.39,863.47," No, like imagine you put that in your six-year "
863.47,867.97,"-old kid's room. They're vibing. Okay, imagine this for a"
867.97,870.79," second though. Can I borrow that for a sec, Andy?"
874.53,877.59, Literally world's better. If I'm going to need the phone
877.59,880.03," and I'm going to need to be in Bluetooth range,"
882.11,884.07, I might as well just play it off the phone.
884.43,886.75, It's not the same vibe though. The thing I connected
886.75,890.05," to is this. What? Oh, you got it working. I"
890.05,897.5, connected to the wrong one. This even has Bluetooth? It's
897.5,902.14," even worse. The price? Uh, 10 bucks. You'll be happy."
902.22,906.9, It's only eight. Okay. Our last Temu item. Industrial endoscope. 
907.26,912.84," Yeah. Does it scope your end? It can actually. Oh,"
912.92,917.06, wow. Yep. That's Elijah's nose. You can flip it upside
917.06,921.06, down. So that's pretty useful. Black and white versus not
921.06,922.94, black and white. Depending on what you're trying to make
922.94,927.0," out, that could actually be pretty useful. No recording, unfortunately."
927.3,931.44, That's a bummer. USB-C charging. You know what? Pretty
931.44,934.98," cool. If this was less than let's say 50 bucks,"
935.14,937.78, I'd say it could be useful at least. This one
937.78,941.44, at this length was $54 US. Yeah. You know what?
941.98,945.44, I like it. Thanks Temu. That endoscope kicks off the
945.44,948.26, camera gear category. I got an advertisement for the Opal
948.26,952.98," Tadpole. A tiny webcam with a clip. Wait, these are"
952.98,956.8, the guys that Marques invested in. Correct. Okay. What's the
956.8,960.14, pitch? It's the world's smallest webcam of this class. Okay.
960.48,964.02, Sony sensor. Yes. Correct. The cable doesn't open the whole
964.02,966.08," way because I don't know. F*** you, I guess. Yeah."
966.1,967.56, I was confused by that. I don't really get it
967.56,969.64," either. Oh, and I guess we get to try it"
969.64,972.16, now. Yeah. Let's test it. It's better than what we
972.16,974.36, had. It's better than my laptop for sure. You wanna
974.36,978.64, guess the price? Oh God. It's probably like $150 or
978.64,980.42, something. Bang on. Really? Yeah. And you can get a
980.42,982.88," carrying case, which will bring it to $168. Yeah. I"
982.88,984.78, wouldn't spend that kind of money on this. This next
984.78,987.44, item I think is a scam. Is this supposed to
987.44,989.38, change your phone to like a wide angle lens or
989.38,991.56," something? Oh yeah, yeah. It's for a camera. We bought"
991.56,994.6," the Sony E-mount variant. Wait, wait, wait, wait, wait,"
994.6,996.94," wait, wait, wait. So this just goes like straight onto"
996.94,1000.32, your camera. This is a lens? Correct. This is just
1000.32,1004.74, like crazy glued together. Correct. This is garbage. Correct. It
1004.74,1011.21, was $50. Who would be stupid enough to buy this?
1011.69,1014.85," Do you wanna try it? Yeah, I do actually. Could"
1014.85,1017.31, they have at least invested in a decent 3D printer?
1017.65,1020.51," Okay, here we'll go with our LTT desk pad, Northern"
1020.51,1025.069, Lights design. Very nice. Beautiful. Oh my God. This feels
1025.069,1032.079, so wrong. What the hell? I gotta say this like
1032.079,1035.48, works better than I thought it would. That's not really
1035.48,1038.46," a sales pitch. No, no, no, no, no. Yeah, no."
1039.14,1044.0, Manufactured e-waste for sure. Apparently we're shooting the next
1044.0,1046.96, one on that lens now. So way to go. Look
1046.96,1049.6," at what you've done, Elijah. Perfect. This is what we"
1049.6,1052.84," were shooting on. Ah, that's garbage. That costs money. Oh,"
1052.9,1056.16, this looks better. Shut up. It's actually a good thing
1056.16,1058.94, you mentioned that it's better because this device promises to
1058.94,1062.78, help you take your photos better. The intelligent camera assistant.
1063.28,1067.34," Camera body meet camera brain. Dude, was this a Kickstarter"
1067.34,1070.08, way back in the day? Correct. I think I remember
1070.08,1072.92, this thing. It's compatible with a certain list of cameras. 
1073.12,1075.6, You basically clip it onto the top. It'll calibrate your
1075.6,1078.94, environment and then help adjust your settings on your camera
1078.94,1083.46," to help you take a better photo. Okay, so it's"
1083.46,1087.86, auto mode. Correct. Have we had our camera guys look
1087.86,1092.18, at this at all and like discuss it? Because surely
1092.18,1094.76, it wouldn't still exist after all this time if it
1094.76,1098.56, was completely useless. I think their main target is going
1098.56,1100.86," to be amateur photographers, right? They're not going to be"
1100.86,1104.28, targeting someone who knows their camera inside and out. So
1104.28,1106.82, I think that's probably why they still exist. They're also
1106.82,1109.26, one of the products that is always on sale. You
1109.26,1113.54," know, it's marked at $430 and it's $130 off. So"
1113.54,1115.96," we paid $300 for it. Shut up. Yeah, we got"
1115.96,1118.02," three of them. Why? Well, because I thought if they"
1118.02,1122.72," work, you know, we didn't. There's another one. The other"
1122.72,1124.84," one's at the studio. Why did you buy more? Well,"
1124.88,1127.14," because if they work. But what if they don't? Okay,"
1127.22,1130.5, stop. What are you not telling me? They sent it
1130.5,1134.82," to us. I just wanted to scare you. Okay, well,"
1134.88,1136.22, how do we try it? This camera is one of
1136.22,1138.18, the compatible ones. Okay. So let's plug it in and
1138.18,1143.3, give it a go. Okay. So hitting the take photo
1143.3,1146.14," button, what it'll do is you should notice some settings"
1146.14,1149.46," adjust after I hit the button. Yeah, hit it. Whoa,"
1149.9,1152.08," look at that. Whoa, geez, it even hit the shutter. "
1152.22,1155.66," Yeah, it takes the photo fully for you. Wow, that's"
1155.66,1159.22," pretty cool. Okay, I took a picture. Now I'm going"
1159.22,1163.94, to try. Now you're going to optimise it. I definitely
1163.94,1166.66," saw some settings change. I mean, it didn't change that"
1166.66,1170.4, much. It went with a faster shutter speed. It did
1170.4,1172.28, open up the aperture a bit more. So you get
1172.28,1174.56, more of like a pleasing depth of field effect. But
1174.56,1177.88," the question for me is, is that what I wanted?"
1178.2,1180.52, Because I might have wanted more of the object in
1180.52,1185.12, focus. So that's debatable. The theme of the shoot is
1185.12,1190.42, dumpster photography. I think it definitely helped. Yeah. The only
1190.42,1192.72, difference is full auto went with a slightly slower shutter
1192.72,1196.34, speed. But the way we're using it assumes a particularly
1196.34,1199.94," unsophisticated user. Like, I don't know if it's adjusting more"
1199.94,1204.42," than just shutter speed aperture and ISO, which like I"
1204.42,1206.82, can do. And I'm not exactly a photography expert. Yeah.
1207.44,1210.1, Andy described it as spend the $300 on a book. 
1211.24,1213.72, And learn how to take a better photo. You know
1213.72,1215.96," what, though? If most of what you're after was just"
1215.96,1219.94," the remote functionality in the app, say for wildlife photography,"
1220.34,1222.66, I could actually see it being pretty useful. But as
1222.66,1226.52," a, you know, training wheels for camera operation, I don't"
1226.52,1229.02," know, guys. Picture this. Your children won't get off their"
1229.02,1231.32, phone. What do you do? Tell them to get off
1231.32,1233.68, their phone. What if they don't? Then I use Family
1233.68,1236.44," Link and I lock their phone. Well, this product can"
1236.44,1239.54," do that, too. It is a box that you can"
1239.54,1243.54, plug in and then charge up to four devices. Okay.
1243.8,1246.24, Why are they all lightning? You can switch them out.
1246.36,1249.2," Oh, okay. Yeah. Okay. All right. But then what happens"
1249.2,1251.7," is you close this. Yeah. Using their app, you can"
1251.7,1255.24," magnetically lock it with a timer. So that, hey, you"
1255.24,1257.3," know, in two hours, you can go get your product."
1258.5,1260.92," Huh? You thought I was going to hate on this,"
1260.98,1262.1, didn't you? Yeah. But how much do you think it
1262.1,1267.04," costs? Oh, oh, oh. If it was a hundred bucks,"
1267.2,1269.88," I'd be like, you got to pay app developers somehow."
1270.02,1271.88, It's a niche product. They probably don't sell that many. 
1272.14,1276.44, But this is pretty trendy looking product literature. Crap. It's
1276.44,1279.7," like $300, isn't it? It is 250 US for the"
1279.7,1282.44, box. Do you want to know the best part? You
1282.44,1285.02, can't even use it without paying for their subscription. No.
1286.14,1289.04, You can charge your devices. It will not do any
1289.04,1293.2, of the timer or locking without a $180 a year
1293.2,1298.94," subscription, Linus. Does the membership cover my entire family? I"
1298.94,1303.42, should sure as hell hope so. It'll charge five phones
1303.42,1305.26, at once. I think there is more like... I only
1305.26,1308.46, see four slots. Oh yeah. How will it charge five
1308.46,1312.26, phones? That's just an outright lie. Great concept. The price
1312.26,1316.46, is way off. Yeah. $100 one-time fee. Sure. If
1316.46,1319.2," you're this desperate, I'll take $100 a year from you"
1319.2,1320.76, to hold onto your phone and give it back to
1320.76,1322.82, you when you want it. Okay. So hold onto this
1322.82,1324.8," phone. Okay. No, no. You don't need the box. No,"
1324.86,1326.66, I still want to use the box. What? You don't
1326.66,1328.32, need... You paid for the box. I'm just the subscription.
1329.3,1331.2, All right. Here. Thank you. Okay. Now give me my
1331.2,1334.1," phone. No, you have to wait. Now. Nope. Give me"
1334.1,1335.72," the phone now. No, I need the admin. You don't"
1335.72,1337.26, have the credit card. I need the admin. You don't
1337.26,1339.86, have the credit card. What's the password? I don't remember.
1341.14,1343.72, It sucks to be you. I have a product that
1343.72,1349.44, doesn't require a subscription. The Photostick 2.0. One click
1349.44,1352.5, photo backup. You plug it in and run an exe.
1355.5,1357.36, Can we go ask Luke if we can test this
1357.36,1360.7," really quick? Sure. Okay. You know, with a name like"
1360.7,1362.3," this, I got to wonder what kind of pictures it"
1362.3,1364.44, backs up. Luke's not here. So we're going to talk
1364.44,1368.68, to Sean instead. We would like to use the Photostick.
1368.96,1373.12, The instructions are to double click on the photostick underscore
1373.12,1376.46, windows dot exe and it will back up our photos. 
1377.02,1382.22, No. Cool. All right. See you later. One of the
1382.22,1387.06," selling features, it works with Windows 7. 40 bucks. It's"
1387.06,1390.46, $60 for a 32 gig. You're not backing up sh**.
1390.72,1394.0, Okay. On to our last product. This is the Bedjet.
1394.7,1398.12, It's basically an air conditioner slash heater for your bed.
1398.32,1400.66, That sounds amazing. Yeah. Do you want to give it
1400.66,1405.12, a try? I do. Okay. Wow. That's something. It's a
1405.12,1408.84, white noise generator too. Yeah. Bonus. It does heating and
1408.84,1412.86," cooling. And this sheet is only the single inlet, but"
1412.86,1414.54, you can actually get a sheet from them that'll do
1414.54,1416.02, like a his and her side. So you can have
1416.02,1418.52," one side that's hotter, one side that's colder. You would"
1418.52,1421.88, need a second machine. Yeah. I see that. Yes. So
1421.88,1424.52, it doesn't do heating and cooling. It does heating. Or
1424.52,1428.74, cooling. Yes. Where is the air going? So it actually
1428.74,1433.24," goes between the two layers of the sheets. Oh, okay. "
1433.66,1436.88," So this is my warmed bed. Good night, sweet prince."
1438.44,1441.84, Not dying. It does look like it. How does it
1441.84,1444.44, feel though? Can you tell it's warmer? Oh yeah. Okay. 
1444.86,1449.28," Oh yeah. No, it's great. It's warm. Well, let's cool"
1449.28,1452.12," it. Now, I don't expect it to be as sophisticated"
1452.12,1455.0," as something like, you know, Eight Sleep with their subscription"
1455.0,1457.84, nonsense. Yeah. But I also expect it to be a
1457.84,1462.5, lower price. Correct. I'm going to say 300 bucks. It's
1462.5,1465.38, 600. But it's one of those products that is always
1465.38,1469.02, on sale. So we actually got it for 430. Okay.
1469.28,1471.88, You could jank together something on your own for a
1471.88,1475.08, lot less than that. Or you can just not. Yeah.
1475.42,1479.34," Do you need a subscription? Nope. Okay. Oh, that's interesting."
1479.54,1483.98," It definitely cools starting at the bottom. And that, whoa,"
1484.1,1488.2," she's, she's flowing. Wait, no, our AC just kicked in."
1488.5,1491.46," It's pointed right at me, Andy. The cold's definitely coming"
1491.46,1493.92, from inside the sheets as well. I don't know if
1493.92,1497.24," it's cold so much as it's like, it didn't warm"
1497.24,1499.3," up. You know, like when you get into the bed"
1499.3,1501.4, and the sheets are kind of cool. Like it feels
1501.4,1503.64, kind of like that. I think that's the whole point
1503.64,1506.12, though. I don't think it's necessarily supposed to be like
1506.12,1509.44, an air condition replacement. Do you think this could help
1509.44,1511.68, some people? Because I don't think it's actually a bad
1511.68,1515.96, product. Alex actually wanted it. He was considering buying it
1515.96,1518.14, before we did it for this video. So he's asking
1518.14,1520.16, if it can go in the Christmas party pile. Sure.
1520.38,1526.74, Okay. Did we buy it? Yes. Fine. Just like this
1526.74,1529.86," fine segue to our sponsor. Delete Me. No, I don't"
1529.86,1532.28, want to die. I just care about my personal information
1532.28,1535.02, because it could be sold online without you even knowing
1535.02,1537.72, it. But you know what's scarier? When somebody buys your
1537.72,1540.72," data via a data broker, they might also access information"
1540.72,1543.02, about your family. That's where Delete Me comes in. They
1543.02,1545.9, help remove your data from hundreds of data broker websites.
1546.1,1548.26, And it's not just yours. They have family plans too.
1548.64,1551.34," With their family account management, you can easily add members,"
1551.34,1554.28, ensuring they get personalised protection because you love them so
1554.28,1557.52, very much. Their privacy-first design means each family member
1557.52,1560.54," gets their own data sheet, keeping their online footprint secure. "
1560.8,1564.64," And with simplified management, overseeing your family's privacy has never"
1564.64,1567.34, been easier. Take control of your privacy and reduce the
1567.34,1570.34," risk of exposure, spam, and scams. Check Delete Me out"
1570.34,1573.18, using the link in the description and use code LTT20
1573.18,1575.94, at checkout for 20% off. If you guys enjoyed
1575.94,1577.66," this video, why don't you check out the time that"
1577.66,1580.9, we said yes to everything. We ended up with some
1580.9,1584.06," really weird stuff. Yeah, like Optimus Prime. Yeah, he's cool. "
